"video","q1","q2","q5","q6","q7","q8","q11","q12","q13","q14","ppgender","ppage","ppeth","ppeducat"
1,2,-2,6,2,4,1,2,1,2,3,1,70,1,4
3,3,3,5,1,4,1,1,1,2,3,2,45,1,4
1,3,1,4,3,4,4,3,3,2,3,1,79,1,3
3,4,2,6,4,4,5,3,3,2,3,2,74,1,1
1,1,-2,4,3,1,4,3,1,1,3,2,63,1,4
3,5,3,8,5,5,6,4,6,3,4,1,37,1,3
1,5,3,4,2,4,3,2,1,2,2,2,45,1,2
2,2,-2,4,2,2,3,2,3,1,2,1,29,1,3
1,5,3,6,3,4,2,4,1,2,3,2,28,1,2
4,3,2,5,1,2,2,1,1,2,3,1,43,1,3
1,2,-2,5,5,4,1,1,1,2,3,2,80,1,3
1,2,-2,4,2,1,1,1,1,2,3,1,50,1,3
2,2,-2,6,1,3,3,1,1,2,3,1,94,1,3
2,2,-2,5,3,2,3,1,3,3,3,1,56,1,4
4,2,-2,4,3,3,3,3,2,2,3,2,64,1,3
2,3,3,4,2,3,1,1,1,2,2,1,36,1,2
3,2,-2,5,1,4,3,1,1,2,3,1,65,1,4
1,2,-2,7,4,4,3,2,3,2,3,2,43,1,2
3,1,-2,2,4,1,4,3,4,1,3,2,61,1,4
3,1,-2,4,4,2,3,2,2,1,1,2,23,1,3
3,3,3,4,2,4,2,1,1,2,3,1,50,1,3
1,2,-2,4,2,2,2,3,1,1,3,2,63,1,3
3,3,3,4,2,1,6,1,2,2,3,2,75,1,1
3,1,-2,5,2,5,6,4,6,2,2,2,75,1,2
3,2,-2,4,3,2,3,2,2,3,4,2,62,1,3
3,3,1,4,3,2,4,3,4,3,3,1,58,1,4
2,1,-2,1,5,2,3,3,5,1,1,2,28,1,3
3,2,-2,6,3,4,3,1,2,2,3,1,91,1,4
1,5,2,8,2,4,3,3,1,2,3,2,62,1,2
2,2,-2,5,3,2,3,4,4,1,2,2,31,1,4
1,3,3,4,2,3,3,3,2,2,4,1,66,1,2
3,2,-2,6,1,4,6,1,1,2,3,1,30,1,3
1,2,-2,4,3,3,2,3,2,3,3,1,30,1,4
3,2,-2,5,4,2,1,1,1,3,2,1,43,1,4
1,2,-2,4,2,3,3,2,2,2,2,2,34,1,4
1,1,-2,2,1,4,1,3,1,2,3,1,44,1,3
4,3,2,8,1,4,4,2,4,2,2,1,49,1,1
4,4,2,6,2,4,6,2,2,2,3,1,46,1,2
1,1,-2,3,3,3,2,3,1,3,2,1,77,1,1
1,3,1,4,2,2,3,3,2,2,2,1,60,1,2
1,1,-2,4,1,4,1,2,2,2,3,1,45,1,2
3,2,-2,5,3,3,3,1,2,2,2,1,49,1,3
4,1,-2,4,2,3,3,2,2,3,2,2,69,1,2
4,5,3,2,2,1,1,3,1,2,3,2,37,1,3
4,4,3,3,3,2,4,3,3,2,3,1,29,1,3
2,3,3,5,4,3,3,4,1,2,3,1,50,1,2
4,3,1,4,2,3,6,2,2,2,3,2,79,1,2
4,5,3,8,5,5,6,4,3,3,4,2,31,1,3
1,2,-2,4,3,2,3,2,2,2,3,2,53,1,2
1,3,2,4,3,4,4,3,2,2,2,2,31,1,3
2,1,-2,2,2,4,1,1,1,2,3,2,55,1,1
