city,precinct,zip,race,party,sex,age,turf,voted01,voted00,voted99,family,famsize,represen,reached,other,goaway,nothome,bad,cant,nothing,contact,treatmen,primary
Bridgeport,Luis Munoz Marin S,6608,,D,F,38,2,0,0,,3570,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,30,2,0,1,,3574,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,40,2,0,1,,3575,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,53,2,0,0,,3576,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,54,2,0,0,,3577,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,32,2,0,1,,3578,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,44,2,0,1,,3580,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,80,2,1,1,,3582,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,45,2,0,0,,3584,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Luis Munoz Marin S,6608,,D,F,44,2,1,1,,3590,1,1,0,0,1,0,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,31,3,0,1,,3903,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,70,3,0,0,,3906,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,88,3,0,0,,3910,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,43,3,0,0,,3911,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,25,3,0,0,,3917,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,31,3,0,0,,3920,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,39,4,0,1,,4651,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,39,4,0,1,,4654,3,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,47,4,1,1,,4655,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,55,4,0,0,,4658,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Harbor View Towers,6608,,D,F,33,5,0,0,,4710,2,1,0,0,0,0,1,,,0,1,0
Bridgeport,Harbor View Towers,6608,,D,F,50,5,0,0,,4713,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Harbor View Towers,6608,,D,F,22,5,0,1,,4717,2,1,0,0,0,1,0,,,0,1,0
Bridgeport,Harbor View Towers,6608,,D,F,27,5,0,0,,4719,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,25,6,1,1,,4761,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,41,6,0,0,,4763,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,24,7,0,0,,5265,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,40,7,0,0,,5266,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,77,7,0,0,,5268,3,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,57,7,1,1,,5271,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,51,7,0,1,,5273,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,45,7,0,0,,5278,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,45,7,0,1,,5285,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,49,7,1,1,,5289,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,34,7,0,0,,5319,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,57,7,0,0,,5333,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,63,7,1,1,,5340,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,67,7,0,0,,5346,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,61,7,0,0,,5348,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,59,7,0,1,,5349,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,73,8,0,1,,6065,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,39,8,0,0,,6066,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,51,8,0,0,,6076,1,1,0,0,0,0,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,59,8,0,0,,6077,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,23,8,0,1,,6078,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,90,8,0,0,,6079,1,1,0,0,0,0,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,47,8,0,0,,6080,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6604,,D,F,77,8,1,1,,6081,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6604,,D,F,20,8,0,0,,6087,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Black Rock School,6605,,D,F,54,9,1,1,,6851,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Black Rock School,6605,,D,F,44,9,0,0,,6856,3,1,0,0,0,1,0,,,0,1,0
Bridgeport,Black Rock School,6605,,D,F,77,9,0,1,,6857,2,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6605,,D,F,45,10,0,1,,7018,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,51,10,0,1,,7019,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,38,10,0,1,,7023,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,37,10,0,1,,7028,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,53,10,0,0,,7031,1,1,0,0,0,0,1,,,0,1,0
Bridgeport,Colombus School,6605,,D,F,32,10,0,1,,7032,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,28,10,0,0,,7033,1,1,0,0,0,1,0,,,0,1,0
Bridgeport,Colombus School,6605,,D,F,59,10,0,0,,7034,2,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,63,10,0,1,,7035,3,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,53,10,0,0,,7041,4,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,60,10,1,1,,7045,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,72,10,0,1,,7047,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,51,10,1,1,,7054,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,62,10,1,1,,7055,1,1,0,0,0,0,0,,,0,0,0
Bridgeport,Colombus School,6605,,D,F,35,10,0,0,,7058,1,1,0,0,0,1,0,,,0,1,0
